Original,Predict,Score
",",~,0.8535756535097682
",",!,1.1468714668828637
",","""",1.1106972089038871
",",(,1.1156227470227966
",",),1.1125192455316952
",",",",1.1055657172817854
",",.,1.1151981993196964
",",:,1.1158978493724208
",",;,1.1153027277968923
",",?,1.1537285841437326
",",[,1.113276983026135
",",],1.100199930352906
",",§,1.0984783517847996
",",«,1.099192463769832
",",»,1.1131435495210293
",",¬,1.150991604405428
",",~,1.1361410586798397
",",!,0.5806400917197558
",","""",0.5494704061531328
",",(,0.5438485717827873
",",),0.5454920460826971
",",",",0.5306590208844499
",",.,0.5449922066694813
",",:,0.5524879930097971
",",;,0.547152339737305
",",?,0.5716513949006996
",",[,0.545985323052629
",",],0.5853483821878841
",",§,0.5009658351524539
",",«,0.5835340223968044
",",»,0.544868117774874
",",¬,0.5713882736282021
",",~,0.5920691245061639
",",!,0.8744393576531474
